AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
100017,4181,07/01/2015,06/30/2017,Hospital,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32114,Volusia,(386) 254-4000,303 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32114,Volusia,LICENSED,HALIFAX HOSPITAL MEDICAL CENTER,05/14/2007,MR. JEFFREY FEASEL,568,Not-For-Profit,halifaxhealth.org
110016,4181,07/01/2015,06/30/2017,Hospital,HALIFAX PSYCHIATRIC CENTER-NORTH,841 JIMMY ANN DR,,DAYTONA BEACH,FL,32117,Volusia,(386) 274-5333,303 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32114,Volusia,LICENSED,HALIFAX HOSPITAL MEDICAL CENTER,02/10/1994,MR. JEFFREY FEASEL,30,Not-For-Profit,http://www.hfch.org/hbs.html
100105,4029,08/07/2015,04/30/2017,Hospital,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,,VERO BEACH,FL,32960,Indian River,(772) 567-4311,1000 36TH ST,,VERO BEACH,FL,32960,Indian River,LICENSED,INDIAN RIVER MEMORIAL HOSPITAL INC,05/01/1991,MR JEFFREY L SUSI,332,Not-For-Profit,http://www.irmc.cc
100022,3998,07/01/2015,06/30/2017,Hospital,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,(305) 585-1111,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,LICENSED,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,12/15/2006,MR CARLOS A MIGOYA,1493,Not-For-Profit,http://www.jhsmiami.org
100208,3998,07/25/2016,06/30/2017,Hospital,JACKSON SOUTH COMMUNITY HOSPITAL,9333 SW 152ND ST,,MIAMI,FL,33157,Miami-Dade,(305) 251-2500,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,LICENSED,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,07/01/2001,MR CARLOS A MIGOYA,250,Not-For-Profit,http://www.jhsmiami.org
100080,4368,04/01/2016,06/28/2017,Hospital,JFK MEDICAL CENTER,5301 S CONGRESS AVE,,ATLANTIS,FL,33462,Palm Beach,(561) 965-7300,5301 S CONGRESS AVE,,ATLANTIS,FL,33462,Palm Beach,LICENSED,JFK MEDICAL CENTER LIMITED PARTNERSHIP,07/13/2005,MS. GINA A MELBY,472,For-Profit,http://www.jfkmc.com/
100234,4368,07/26/2016,06/28/2017,Hospital,JFK MEDICAL CENTER NORTH CAMPUS,2201 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 842-6141,2201 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,LICENSED,JFK MEDICAL CENTER LIMITED PARTNERSHIP,04/01/2016,MS. GINA A MELBY,245,For-Profit,http://www.columbiahospital.com/
100209,4344,06/13/2016,06/30/2017,Hospital,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,,MIAMI,FL,33175,Miami-Dade,(305) 223-3000,11750 BIRD RD,,MIAMI,FL,33175,Miami-Dade,LICENSED,KENDALL HEALTHCARE GROUP  LTD,04/30/1992,MR SCOTT A CIHAK,417,For-Profit,http://www.kendallmed.com/
100099,4007,01/01/2015,11/30/2016,Hospital,LAKE WALES MEDICAL CENTER,410 S 11TH ST,,LAKE WALES,FL,33853,Polk,(863) 676-1433,410 S 11TH ST,,LAKE WALES,FL,33853,Polk,LICENSED,LAKE WALES HOSPITAL CORPORATION,07/06/2005,MR. ANDREW HOWARD,160,For-Profit,http://www.lakewalesmedicalcenter.com
100157,4413,07/18/2016,09/30/2016,Hospital,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,,LAKELAND,FL,33805,Polk,(863) 687-1100,1324 LAKELAND HILLS BLVD,,LAKELAND,FL,33805,Polk,LICENSED,LAKELAND REGIONAL MEDICAL CENTER INC,05/01/1991,DR. WILTON M REAVIS MD,849,Not-For-Profit,http://www.lrmc.com
100015,4398,07/01/2015,06/30/2017,Hospital,LARGO MEDICAL CENTER - INDIAN ROCKS,2025 INDIAN ROCKS RD,,LARGO,FL,33774,Pinellas,(727) 581-9474,201 14TH ST SW,,LARGO,FL,33770,Pinellas,LICENSED,LARGO MEDICAL CENTER INC,03/01/2008,MR. ANTHONY M DEGINA,169,For-Profit,www.largomedical.com
100181,4288,07/22/2016,03/03/2018,Hospital,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,,SOUTH MIAMI,FL,33143,Miami-Dade,(305) 284-7500,5996 SW 70TH ST,,SOUTH MIAMI,FL,33143,Miami-Dade,LICENSED,LARKIN COMMUNITY HOSPITAL INC,03/01/1997,MS SANDRA SOSA-GUERRERO,146,For-Profit,http://www.larkinhospital.com/
104015,4361,07/31/2015,04/01/2017,Hospital,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,1201 N 37TH AVE,,HOLLYWOOD,FL,33021,Broward,(954) 962-1355,1201 N 37TH AVE,,HOLLYWOOD,FL,33021,Broward,LICENSED,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES INC,04/02/2015,MS NATASHA A ANDERSON,50,For-Profit,www.larkinbehavioral.com
100246,4144,07/26/2016,06/30/2017,Hospital,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST,,FORT PIERCE,FL,34950,St. Lucie,(772) 468-4500,1700 S 23RD ST,,FORT PIERCE,FL,34950,St. Lucie,LICENSED,LAWNWOOD MEDICAL CENTER  INC.,06/03/1991,MR. GREG LOWE,380,For-Profit,http://www.lawnwoodmed.com/
104018,4075,07/01/2015,06/30/2017,Hospital,LIFESTREAM BEHAVIORAL CENTER,2020 TALLY RD,,LEESBURG,FL,34748,Lake,(352) 315-7800,PO BOX 491000,,LEESBURG,FL,34749-1000,Lake,LICENSED,LIFESTREAM BEHAVIORAL CENTER  INC,11/01/1993,MR. JONATHAN CHERRY,46,Not-For-Profit,http://www.lsbc.net/
100043,4378,07/01/2015,06/30/2017,Hospital,MEASE DUNEDIN HOSPITAL,601 MAIN ST,,DUNEDIN,FL,34698,Pinellas,(727) 733-1111,2985 DREW ST,,CLEARWATER,FL,33756,Pinellas,LICENSED,TRUSTEES OF MEASE HOSPITALS  INC,04/29/1991,MR. GLENN D WATERS,120,Not-For-Profit,http://www.measehospitals.com/
23960110,4400,07/01/2015,06/30/2017,Hospital,MEDICAL CENTER OF TRINITY WEST PASCO CAMPUS,5637 MARINE PKWY,,NEW PORT RICHEY,FL,34652,Pasco,(727) 834-5927,9330 SR 54,,TRINITY,FL,34655,Pasco,LICENSED,NEW PORT RICHEY HOSPITAL INC,01/24/2012,MS. LEIGH MASSENGILL,46,For-Profit,www.medicalcentertrinity.com
100179,4447,08/01/2015,01/02/2017,Hospital,MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,(904) 399-6111,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,LICENSED,MEMORIAL HEALTHCARE GROUP INC,11/30/2006,MR. JAMES F O'LOUGHLIN,418,For-Profit,http://www.memorialhospitaljax.com/
100206,4112,10/01/2015,09/30/2017,Hospital,MEMORIAL HOSPITAL OF TAMPA,2901 W SWANN AVE,,TAMPA,FL,33609,Hillsborough,(813) 873-6450,2901 W SWANN AVE,,TAMPA,FL,33609,Hillsborough,LICENSED,WEST FLORIDA - MHT LLC,10/01/2013,MR. WARD BOSTON,183,For-Profit,http://www.memorialhospitaltampa.com/
100038,4411,11/16/2015,06/30/2017,Hospital,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,,HOLLYWOOD,FL,33021,Broward,(954) 987-2000,3501 JOHNSON ST,,HOLLYWOOD,FL,33021,Broward,LICENSED,SOUTH BROWARD HOSPITAL DISTRICT,04/29/1991,MR. ZEFF ROSS,777,Not-For-Profit,http://www.memorialregional.com/
100061,4384,08/31/2016,08/30/2018,Hospital,MERCY HOSPITAL  A CAMPUS OF PLANTATION GENERAL HOSPITAL,3663 S MIAMI AVE,,MIAMI,FL,33133-4253,Miami-Dade,(305) 285-2121,401 NW 42ND ST,,MIAMI,FL,33127-2839,Miami-Dade,LICENSED,PLANTATION GENERAL HOSPITAL LIMITED PARTNERSHIP,05/01/2011,MR DALE ALWARD,488,For-Profit,http://www.mercymiami.com/
100127,4064,07/01/2015,06/30/2017,Hospital,MORTON PLANT HOSPITAL,300 PINELLAS ST,,CLEARWATER,FL,33756,Pinellas,(727) 462-7000,300 PINELLAS ST  MS #21,,CLEARWATER,FL,33756,Pinellas,LICENSED,MORTON PLANT HOSPITAL ASSOCIATION INC,04/29/1991,MR. GLENN D WATERS,687,Not-For-Profit,http://www.mortonplant.com/body.cfm?id=421
23960102,4216,12/04/2015,05/31/2017,Hospital,MORTON PLANT NORTH BAY HOSPITAL RECOVERY CENTER,21808 STATE RD 54,,LUTZ,FL,33549,Pasco,(727) 843-8468,2985 DREW ST,,CLEARWATER,FL,33759-3012,Pinellas,LICENSED,MORTON PLANT HOSPITAL ASSOCIATION INC,06/23/2010,MR. GLENN D WATERS,72,Not-For-Profit,https://baycare.org/locations/m/morton-plant-north-bay-hospital--recovery-center
100034,4066,06/30/2016,06/29/2018,Hospital,MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,,MIAMI BEACH,FL,33140,Miami-Dade,(305) 674-2121,4300 ALTON RD,,MIAMI BEACH,FL,33140,Miami-Dade,LICENSED,MOUNT SINAI MEDICAL CENTER OF FLORIDA  INC,04/29/1991,MR STEVEN D SONENREICH,672,Not-For-Profit,http://www.msmc.com/
110199,4067,03/10/2016,01/15/2018,Hospital,NICKLAUS CHILDREN'S HOSPITAL,3100 SW 62ND AVE,,MIAMI,FL,33155-3009,Miami-Dade,(305) 666-6511,3100 SW 62ND AVE,ATTN: ACCREDITATION & REGULATORY DEPT,MIAMI,FL,33155-3009,Miami-Dade,LICENSED,VARIETY CHILDREN'S HOSPITAL,04/29/1991,DR NARENDRA M KINI,289,Not-For-Profit,http://www.mch.com/
100204,4247,04/22/2016,04/21/2018,Hospital,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,,GAINESVILLE,FL,32605,Alachua,(352) 333-4000,PO BOX 147006,,GAINESVILLE,FL,32614-7006,Alachua,LICENSED,NORTH FLORIDA REGIONAL MEDICAL CENTER INC,05/01/1991,MR. BRIAN T COOK,432,For-Profit,http://www.nfrmc.com/
100029,4133,01/08/2016,01/10/2017,Hospital,NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,,MIAMI,FL,33150,Miami-Dade,(305) 835-6000,1100 NW 95TH ST,,MIAMI,FL,33150,Miami-Dade,LICENSED,NORTH SHORE MEDICAL CENTER  INC,11/01/1997,MR MANUEL LINARES,337,For-Profit,http://www.northshoremedical.com/
23960114,4514,09/27/2015,09/26/2017,Hospital,NORTH TAMPA BEHAVIORAL HEALTH,29910 SR 56,,WESLEY CHAPEL,FL,33543,Pasco,(813) 333-0000,29910 SR 56,,WESLEY CHAPEL,FL,33543,Pasco,LICENSED,TEN BROECK TAMPA INC,05/31/2013,MR. JAMES NORTON,75,For-Profit,www.acadiahealthcare.com
100226,4354,07/01/2016,06/30/2017,Hospital,ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE,,ORANGE PARK,FL,32073,Clay,(904) 639-8500,2001 KINGSLEY AVE,,ORANGE PARK,FL,32073,Clay,LICENSED,ORANGE PARK MEDICAL CENTER INC,04/29/1991,MR. JAMES CHAD PATRICK,317,For-Profit,http://opmedical.com/
100110,4450,06/01/2016,03/30/2018,Hospital,OSCEOLA REGIONAL MEDICAL CENTER,700 W OAK ST,,KISSIMMEE,FL,34741,Osceola,(407) 846-2266,700 W OAK ST,,KISSIMMEE,FL,34741,Osceola,LICENSED,OSCEOLA REGIONAL HOSPITAL INC.,04/02/1994,MR. ROBERT M KRIEGER,332,For-Profit,http://www.osceolaregional.com/
100187,4313,07/01/2016,06/30/2018,Hospital,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,,HIALEAH,FL,33016,Miami-Dade,(305) 823-5000,2001 W 68TH ST,,HIALEAH,FL,33016,Miami-Dade,LICENSED,LIFEMARK HOSPITALS OF FLORIDA INC,06/28/2002,MS ANA J MEDEROS,368,For-Profit,http://www.palmettogeneral.com/
23960103,4507,06/14/2016,11/10/2016,Hospital,PARK ROYAL HOSPITAL,9241 PARK ROYAL DR,,FORT MYERS,FL,33908,Lee,(239) 985-2700,9241 PARK ROYAL DR,,FORT MYERS,FL,33908,Lee,LICENSED,PAVILION AT HEALTH PARK  LLC THE,11/15/2011,MR. MICHAEL HAM,114,For-Profit,www.ParkRoyalHospital.com
100167,4384,08/31/2016,08/30/2018,Hospital,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,,PLANTATION,FL,33317,Broward,(954) 587-5010,401 NW 42ND AVE,,PLANTATION,FL,33317,Broward,LICENSED,PLANTATION GENERAL HOSPITAL LIMITED PARTNERSHIP,05/02/1991,MR. ROBERT LEE,264,For-Profit,http://www.plantationgeneral.com/
110022,4295,07/27/2016,07/26/2018,Hospital,PORT ST LUCIE HOSPITAL,2550 SE WALTON RD,,PORT SAINT LUCIE,FL,34952,St. Lucie,(772) 335-0400,2550 SE WALTON RD,,PORT SAINT LUCIE,FL,34952,St. Lucie,LICENSED,OGLETHORPE OF PORT ST LUCIE  LLC,07/27/2006,MR. JOHN PICCIANO,75,For-Profit,http://www.portstluciehospitalinc.com/
104016,4011,04/19/2016,02/28/2018,Hospital,RIVER POINT BEHAVIORAL HEALTH,6300 BEACH BLVD,,JACKSONVILLE,FL,32216,Duval,(904) 724-9202,6300 BEACH BLVD,,JACKSONVILLE,FL,32216,Duval,LICENSED,TBJ BEHAVIORAL CENTER LLC,03/01/2008,MR. KEVIN MCGEE,84,For-Profit,http://www.riverpointbehavioral.com/
100087,4191,07/01/2015,06/30/2017,Hospital,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,,SARASOTA,FL,34239,Sarasota,(941) 917-9000,1700 S TAMIAMI TRL,,SARASOTA,FL,34239-3555,Sarasota,LICENSED,SARASOTA COUNTY PUBLIC HOSPITAL DISTRICT,02/08/2003,MR. DAVID VERINDER,819,Not-For-Profit,http://www.smh.com/
100263,4393,04/04/2016,06/30/2017,Hospital,SOUTH SEMINOLE HOSPITAL,555 W STATE RD 434,,LONGWOOD,FL,32750,Seminole,(407) 767-5800,1414 KUHL AVE,MP-8,ORLANDO,FL,32806,Orange,LICENSED,ORLANDO HEALTH INC,08/04/1999,MR. DAVID STRONG,206,Not-For-Profit,http://www.orlandohealth.com/
110040,4522,06/24/2016,05/31/2018,Hospital,SOUTHERN WINDS,4225 W 20TH AVE,,HIALEAH,FL,33012,Miami-Dade,(305) 558-9700,4225 W 20TH AVE,,HIALEAH,FL,33012,Miami-Dade,LICENSED,SOUTHERN WINDS HEALTH LLC,06/01/2016,MS KATHLEEN MELO-NAZARIO,72,For-Profit,
110054,4205,11/14/2015,11/13/2017,Hospital,SPRINGBROOK HOSPITAL,7007 GROVE RD,,BROOKSVILLE,FL,34609,Hernando,(352) 596-4306,7007 GROVE RD,,BROOKSVILLE,FL,34609,Hernando,LICENSED,BROOKSVILLE PROPERTY RESOURCES INC,11/14/2007,MR. MICHAEL T HOGAN,66,For-Profit,http://www.springbrookhospital.com/
100067,4215,01/01/2016,12/31/2017,Hospital,ST ANTHONYS HOSPITAL,1200 SEVENTH AVE N,,SAINT PETERSBURG,FL,33705,Pinellas,(727) 825-1100,1200 SEVENTH AVE N,,SAINT PETERSBURG,FL,33705,Pinellas,LICENSED,ST ANTHONYS HOSPITAL INC,10/25/2007,MR. WILLIAM G ULBRICHT,393,Not-For-Profit,http://www.stanthonys.com/
23960113,4292,01/01/2016,12/31/2017,Hospital,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,4918 HABANA AVE,,TAMPA,FL,33607,Hillsborough,(813) 870-4000,3001 W MARTIN LUTHER KING JR BLVD,,TAMPA,FL,33607,Hillsborough,LICENSED,ST JOSEPHS HOSPITAL INC,12/02/2011,MR. GLENN D WATERS,60,Not-For-Profit,www.sjbhealth.org
100260,4193,09/20/2015,09/19/2017,Hospital,ST LUCIE MEDICAL CENTER,1800 SE TIFFANY AVE,,PORT SAINT LUCIE,FL,34952,St. Lucie,(772) 335-4000,1800 SE TIFFANY AVE,,PORT SAINT LUCIE,FL,34952,St. Lucie,LICENSED,HCA HEALTH SERVICES OF FLORIDA INC,09/20/1983,MR. JOHN R FINNEGAN,229,For-Profit,http://www.stluciemed.com/
100010,4058,01/21/2016,06/30/2017,Hospital,ST MARY'S MEDICAL CENTER,901 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 844-6300,901 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,LICENSED,ST MARYS MEDICAL CENTER INC,03/18/2004,MS GABRIELLE FINLEY-HAZLE,464,For-Profit,http://www.stmarysmc.com
110049,4356,09/01/2014,08/31/2016,Hospital,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,,BRADENTON,FL,34210,Manatee,(941) 792-2222,4480 51ST ST W,,BRADENTON,FL,34210,Manatee,LICENSED,PREMIER BEHAVIORAL,06/24/2005,MS. BRANDY HAMILTON,60,For-Profit,http://www.psysolutions.com/
100135,4080,05/09/2016,06/30/2017,Hospital,TALLAHASSEE MEMORIAL HOSPITAL,1300 MICCOSUKEE RD,,TALLAHASSEE,FL,32308,Leon,(850) 431-5380,1300 MICCOSUKEE RD,,TALLAHASSEE,FL,32308,Leon,LICENSED,TALLAHASSEE MEMORIAL HEALTH CARE INC,04/30/1991,MR. GEORGE MARK O'BRYANT,772,Not-For-Profit,http://www.tmh.org/
